,ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label,type
246642,1556249374,172.17.0.3,37144,192.168.1.190,53,udp,dns,0.001052,0,636,SHR,0,0,0,2,692,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
113008,1554292875,192.168.1.79,55407,192.168.1.255,15600,udp,-,0.0,0,0,S0,0,1,63,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
138214,1554312945,192.168.1.190,10523,96.7.49.66,53,udp,dns,0.128737,0,95,SHR,0,0,0,1,123,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
410673,1556423444,192.168.1.79,7678,192.168.1.195,49685,tcp,-,0.0,0,0,OTH,0,1,1500,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
234519,1556248240,192.168.1.190,65350,192.203.230.10,53,udp,dns,0.026732,35,711,SF,0,1,63,1,739,net.sg,1,43,0,F,F,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
426044,1556425280,192.168.1.37,35943,192.168.1.193,445,tcp,-,0.0,0,0,OTH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ransomware
237628,1556248707,192.168.1.190,54387,202.12.31.53,53,udp,dns,0.015609999999999999,55,793,SF,0,1,83,1,821,144.157.66.83.in-addr.arpa,1,12,3,F,F,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
96173,1554283482,fe80::76:ad3e:1329:a7fd,143,ff02::16,0,icmp,-,2.003748,40,0,OTH,0,2,152,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
433658,1556426719,192.168.1.33,32835,192.168.1.193,445,tcp,-,0.0,0,0,RSTRH,0,0,0,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ransomware
68747,1554267374,192.168.1.152,35943,192.168.1.190,53,udp,dns,3.8e-05,130,0,S0,0,2,186,0,0,a2z3kk2ebqzso7.iot.ap-southeast-2.amazonaws.com,1,1,0,F,T,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
130365,1554306292,192.168.1.190,17767,193.108.88.128,53,udp,dns,0.017046000000000002,0,89,SHR,0,0,0,1,117,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
235973,1556248540,86.61.208.85,37341,192.168.1.152,80,tcp,-,2e-05,0,0,S1,0,1,40,1,44,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
213452,1556203769,192.168.1.30,47920,192.168.1.184,443,tcp,-,0.000258,0,0,S1,0,2,112,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
411079,1556423452,192.168.1.79,9197,192.168.1.195,49702,tcp,-,0.0,0,0,SH,0,1,1026,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
153154,1556021478,192.168.1.32,61176,192.168.1.49,3168,tcp,-,0.0,0,0,S0,0,1,44,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,scanning
206926,1556173455,192.168.1.31,38540,192.168.1.190,80,tcp,http,0.13638499999999998,273,1919,SF,0,5,541,6,2239,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,injection
333908,1556297053,192.168.1.190,10693,203.119.86.101,53,udp,dns,0.018445,101,772,SF,0,1,129,1,800,7.d.0.a.a.1.f.f.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,1,12,3,F,F,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
194466,1556172718,192.168.1.30,53494,192.168.1.152,80,tcp,http,0.16923,411,3440,SF,0,5,679,7,3812,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,injection
106612,1554289184,192.168.1.79,56824,192.168.1.255,15600,udp,-,0.0,0,0,S0,0,1,63,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
25461,1554231405,192.168.1.190,43530,192.168.1.190,7878,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
416972,1556423585,192.168.1.79,9197,192.168.1.195,49833,tcp,-,0.0,0,0,OTH,0,1,40,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
404186,1556364075,192.168.1.195,51221,192.168.1.1,41952,tcp,http,0.014849000000000001,226,3978,SF,0,7,518,9,4350,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
191703,1556172025,192.168.1.31,49500,192.168.1.152,80,tcp,http,0.051275,281,3440,SF,0,6,601,7,3812,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,injection
145532,1554318989,192.168.1.190,22642,13.107.3.1,53,udp,dns,0.134007,0,108,SHR,0,0,0,1,136,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
374374,1556340922,192.168.1.36,35860,192.168.1.190,80,tcp,http,6.253786,371,529,S3,0,5,639,4,745,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,xss
284583,1556260988,192.168.1.190,55589,203.119.86.101,53,udp,dns,0.0276,48,456,SF,0,1,76,1,484,14.123.in-addr.arpa,1,43,0,F,F,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
422348,1556424873,192.168.1.37,36587,192.168.1.193,445,tcp,-,0.0,0,0,OTH,0,0,0,1,52,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ransomware
339938,1556319072,192.168.1.1,64979,192.168.1.195,57541,udp,-,0.095582,573,0,S0,0,2,629,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
41586,1554247817,192.168.1.152,42946,192.168.1.190,53,udp,dns,0.00040300000000000004,0,298,SHR,0,0,0,2,354,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
