,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0,other,0,0,0,0.0,0.0,0.75,13,27,0.08,1.0,0.93,S0,0,0,0,0,fd95:ec1e:6a61:49ee:0191:4307:2301:036e,4129,fd95:ec1e:6a61:05d3:7dd2:270d:61ec:03f4,80,03:20:28,tcp
1,0.000499,dns,61,77,17,1.0,0.0,0.0,37,100,0.0,0.0,0.0,SF,0,0,0,1,fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5,34047,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,00:46:22,udp
2,0.000503,dns,61,77,20,1.0,0.0,0.0,58,100,0.0,0.0,0.0,SF,0,0,0,1,fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5,59585,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,11:30:04,udp
3,0.0,other,0,0,0,0.0,0.0,0.78,0,0,0.0,0.0,0.0,S0,0,0,0,0,fd95:ec1e:6a61:8c79:0b32:0fee:6f91:3948,55604,fd95:ec1e:6a61:9478:7d39:2713:60a1:0514,3306,04:16:40,tcp
4,0.000388,dns,61,77,18,1.0,0.06,0.18,48,85,0.0,0.0,0.01,SF,0,0,0,0,fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709,47029,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,01:28:42,udp
5,0.000389,dns,45,76,24,1.0,0.0,0.0,69,99,0.0,0.0,0.0,SF,0,0,0,0,fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709,57997,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,18:26:12,udp
6,0.9769540000000001,other,128,209,1,1.0,1.0,0.33,2,51,0.0,0.0,0.88,SF,0,0,0,0,fd95:ec1e:6a61:15c9:2154:6fb1:0331:2d64,1336,fd95:ec1e:6a61:05d3:7dd2:270d:61ec:03f4,445,21:26:45,tcp
7,0.0,other,0,0,1,1.0,0.0,0.88,1,10,0.0,0.0,0.0,OTH,0,0,0,0,fd95:ec1e:6a61:6343:7d50:27cb:607e:0a8e,39,fd95:ec1e:6a61:59dc:4122:2cf2:26d9:03ff,80,17:23:05,tcp
8,0.8575370000000001,ssh,520,1745,1,1.0,0.0,0.0,11,11,0.0,0.0,0.0,SF,0,0,0,0,fd95:ec1e:6a61:4c78:0b05:57e2:1a1d:1bff,28586,fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709,22,15:34:30,tcp
9,0.000463,dns,43,100,23,1.0,0.0,0.0,59,99,0.0,0.0,0.0,SF,0,0,0,0,fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709,53557,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,06:29:17,udp
