,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.3783590000000001,ssh,621,1632,1,1.0,0.0,0.0,21,21,0.0,0.0,0.0,SF,0,0,0,1,fd95:ec1e:6a61:5499:050c:0701:2fd7:2d11,59915,fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5,22,04:09:31,tcp
1,0.000405,dns,44,94,11,1.0,0.0,0.0,94,100,0.0,0.0,0.0,SF,0,0,0,0,fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709,34188,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,20:52:24,udp
2,0.000508,dns,43,100,23,1.0,0.0,0.0,40,100,0.0,0.0,0.0,SF,0,0,0,1,fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5,43396,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,04:32:41,udp
3,0.0,other,0,0,3,1.0,1.0,0.8,50,98,0.02,0.94,0.96,S0,0,0,0,0,fd95:ec1e:6a61:49ee:0191:4307:2301:036e,1767,fd95:ec1e:6a61:05d3:7dd2:270d:61ec:03f4,139,08:04:44,tcp
4,3.200015,other,0,0,0,0.0,0.0,0.33,2,2,1.0,1.0,1.0,S0,0,0,0,0,fd95:ec1e:6a61:39fd:7deb:2765:61d9:35c9,55381,fd95:ec1e:6a61:60db:19e4:0575:6825:003c,113,23:49:46,tcp
5,0.000373,dns,35,51,11,1.0,0.0,0.0,70,100,0.0,0.0,0.0,SF,0,0,0,0,fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709,15947,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,18:54:18,udp
6,0.000375,dns,61,112,14,1.0,0.0,0.0,56,100,0.0,0.0,0.0,SF,0,0,0,1,fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5,49880,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,11:36:18,udp
7,0.00042800000000000005,dns,45,104,14,1.0,0.0,0.0,90,100,0.0,0.0,0.0,SF,0,0,0,0,fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709,23776,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,22:30:52,udp
8,0.000655,dns,61,77,24,1.0,0.0,0.0,39,100,0.0,0.0,0.0,SF,0,0,0,1,fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5,48647,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,09:55:21,udp
9,0.00039,dns,45,79,25,1.0,0.0,0.0,79,93,0.0,0.0,0.0,SF,0,0,0,0,fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709,32403,fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d,53,21:45:11,udp
